subgroup,family,R_V,alpha,calibration_lower_Msun,calibration_upper_Msun,window_status,absolute_95_edge_Msun,relative_95_plateau_edge_Msun_diagnostic,bright_plateau_completeness,raw_calibration_sources,membership_weighted_calibration_sources,observed_count_method,truth_age_nodes_Myr,truth_age_prior_weights,truth_age_log_marginal_likelihood,truth_age_posterior_weights,truth_age_posterior_mean_Myr,truth_age_prior_mean_Myr,truth_age_posterior_map_Myr,k_mle,k_median,k_lo68,k_hi68,k_lo95,k_hi95,poisson_chi_square,poisson_chi_square_df,poisson_chi_square_p,residual_spearman_rho,residual_trend_p,max_abs_pearson_residual,residual_gate_pass
CygOB2-A,PARSEC,3.0,2.0,2.0,8.0,corrected_no_absolute95_edge,,3.0,0.7951262626262624,396,340.795769921875,membership_weighted_mass_posterior_soft_bins,"[3.77239523 3.85436085 3.90386602 3.94410762 3.98107171 4.0074795
 4.03622881 4.07159617 4.13015385]","[0.11111111 0.11111111 0.11111111 0.11111111 0.11111111 0.11111111
 0.11111111 0.11111111 0.11111111]","[-594.11826921 -593.70018781 -593.00618696 -592.43496424 -591.6645738
 -591.57139026 -591.79713077 -591.97515089 -591.526476  ]","[0.01483494 0.02253493 0.04510835 0.0798612  0.17254888 0.18940055
 0.15112746 0.12648244 0.19810126]",4.023006484152847,3.9668066385793184,4.130153849670619,1231.6242264610285,1176.6904105120113,1112.4604781194014,1246.579982174777,1052.6168997870218,1311.0774586673988,10.12941803330442,5,0.07165020213616752,-0.6,0.208,2.2238344651763984,True
CygOB2-A,PARSEC,3.0,2.3,2.0,8.0,corrected_no_absolute95_edge,,3.0,0.7951262626262624,396,340.795769921875,membership_weighted_mass_posterior_soft_bins,"[3.77239523 3.85436085 3.90386602 3.94410762 3.98107171 4.0074795
 4.03622881 4.07159617 4.13015385]","[0.11111111 0.11111111 0.11111111 0.11111111 0.11111111 0.11111111
 0.11111111 0.11111111 0.11111111]","[-591.38827258 -590.85687406 -590.30356643 -589.91677151 -589.43649424
 -589.43677047 -589.54526351 -589.62525118 -589.47789974]","[0.0232573  0.03956788 0.06880837 0.10130343 0.16375928 0.16371405
 0.14688181 0.13559067 0.1571172 ]",4.010270331797498,3.9668066385793184,3.9810717055349722,1791.5531912632553,1675.0432642151386,1580.4495652032765,1776.841886035056,1490.085302863665,1874.54937382573,6.721466649223359,5,0.24219286872155207,-0.3714285714285715,0.4684781341107872,1.5607371533639183,True
CygOB2-A,PARSEC,3.0,2.6,2.0,8.0,corrected_no_absolute95_edge,,3.0,0.7951262626262624,396,340.795769921875,membership_weighted_mass_posterior_soft_bins,"[3.77239523 3.85436085 3.90386602 3.94410762 3.98107171 4.0074795
 4.03622881 4.07159617 4.13015385]","[0.11111111 0.11111111 0.11111111 0.11111111 0.11111111 0.11111111
 0.11111111 0.11111111 0.11111111]","[-591.07261141 -590.4578412  -590.06127828 -589.87423978 -589.6791459
 -589.7798953  -589.77281093 -589.76100861 -589.92678825]","[0.03688624 0.06821121 0.10141001 0.12226738 0.14860685 0.1343643
 0.13531957 0.13692612 0.11600831]",3.9930844132957377,3.9668066385793184,3.9810717055349722,2575.765526251514,2326.86366056491,2185.631626629618,2479.744922583672,2051.2406491237534,2626.658092276543,10.034771068446465,5,0.07425599710174992,0.14285714285714288,0.7871720116618076,2.3708974182637483,True
CygOB2-B,PARSEC,3.0,2.0,2.0,8.0,corrected_no_absolute95_edge,,5.5,0.8011648148148147,341,267.90825859375,membership_weighted_mass_posterior_soft_bins,"[3.1302357  3.1428214  3.15042284 3.15660188 3.16227766 3.42027404
 3.7011464  4.04667517 4.61876654]","[0.11111111 0.11111111 0.11111111 0.11111111 0.11111111 0.11111111
 0.11111111 0.11111111 0.11111111]","[-481.79752643 -481.59774185 -481.4148765  -481.50318881 -481.53639321
 -481.07346558 -478.74172868 -476.32539435 -476.4363065 ]","[0.00208082 0.00254097 0.00305082 0.00279295 0.00270173 0.00429229
 0.04419264 0.49516579 0.44318198]",4.270443983765429,3.503246848208284,4.0466751693970355,1180.668643068689,1116.3874480811896,1046.114800701201,1192.1538093843199,980.202911168013,1270.8223518798168,10.618746046466304,5,0.0594856317534941,-0.942857142857143,0.004804664723032055,2.1130236324577365,False
CygOB2-B,PARSEC,3.0,2.3,2.0,8.0,corrected_no_absolute95_edge,,5.5,0.8011648148148147,341,267.90825859375,membership_weighted_mass_posterior_soft_bins,"[3.1302357  3.1428214  3.15042284 3.15660188 3.16227766 3.42027404
 3.7011464  4.04667517 4.61876654]","[0.11111111 0.11111111 0.11111111 0.11111111 0.11111111 0.11111111
 0.11111111 0.11111111 0.11111111]","[-478.08152267 -477.93227262 -477.80747267 -477.8599932  -477.88188746
 -477.42795827 -475.56609305 -473.70317698 -474.01174071]","[0.00630956 0.00732516 0.00829884 0.00787423 0.0077037  0.01212937
 0.07806134 0.50290991 0.3693879 ]",4.189765684503296,3.503246848208284,4.0466751693970355,1734.8265154979547,1596.5053595159595,1489.8293515475032,1711.3676851206467,1388.3665739604303,1834.6924564077513,6.779134699856932,5,0.2375913387566105,-0.7142857142857143,0.11078717201166179,1.9891739996996607,True
CygOB2-B,PARSEC,3.0,2.6,2.0,8.0,corrected_no_absolute95_edge,,5.5,0.8011648148148147,341,267.90825859375,membership_weighted_mass_posterior_soft_bins,"[3.1302357  3.1428214  3.15042284 3.15660188 3.16227766 3.42027404
 3.7011464  4.04667517 4.61876654]","[0.11111111 0.11111111 0.11111111 0.11111111 0.11111111 0.11111111
 0.11111111 0.11111111 0.11111111]","[-475.75383498 -475.65286533 -475.60808928 -475.61541925 -475.6199393
 -475.16819424 -473.81386524 -472.61739779 -473.0588277 ]","[0.01918028 0.02121805 0.0221897  0.02202765 0.02192831 0.0344505
 0.13346676 0.44156266 0.28397608]",4.045796276329598,3.503246848208284,4.0466751693970355,2531.511096565148,2233.7615943323663,2066.076609174981,2417.43479745459,1915.1966624948748,2603.9246469591926,7.380883009388472,5,0.19381925400804895,-0.4285714285714286,0.3965014577259473,2.1285600861924747,True
CygOB2-C,PARSEC,3.0,2.0,2.0,8.0,corrected_no_absolute95_edge,,4.5,0.79840744400527,324,260.37115039062496,membership_weighted_mass_posterior_soft_bins,"[2.45622183 2.47808622 2.49129176 2.50202624 2.51188643 2.52795954
 2.54545781 2.56698417 2.60262531]","[0.11111111 0.11111111 0.11111111 0.11111111 0.11111111 0.11111111
 0.11111111 0.11111111 0.11111111]","[-463.73561123 -463.06735709 -463.37188108 -463.16572495 -462.9753541
 -462.86060453 -462.94398342 -462.86172052 -462.8423282 ]","[0.05636458 0.10995764 0.08109094 0.0996563  0.12055404 0.13521251
 0.12439585 0.1350617  0.13770642]",2.528666001604483,2.5202821440392187,2.6026253088936397,1342.1603354120393,1257.1750355957843,1175.9695956027263,1338.9757397882984,1103.4524254579612,1422.828841103392,6.234429573058473,5,0.28407165014632985,-0.7714285714285715,0.07239650145772594,1.913558637802196,True
CygOB2-C,PARSEC,3.0,2.3,2.0,8.0,corrected_no_absolute95_edge,,4.5,0.79840744400527,324,260.37115039062496,membership_weighted_mass_posterior_soft_bins,"[2.45622183 2.47808622 2.49129176 2.50202624 2.51188643 2.52795954
 2.54545781 2.56698417 2.60262531]","[0.11111111 0.11111111 0.11111111 0.11111111 0.11111111 0.11111111
 0.11111111 0.11111111 0.11111111]","[-462.27368545 -461.82880433 -462.01944869 -461.88003162 -461.73986209
 -461.72194125 -461.76397649 -461.75226788 -461.67597311]","[0.07173054 0.1119215  0.09249488 0.10633244 0.12233216 0.12454421
 0.11941747 0.1208239  0.1304029 ]",2.525657806682102,2.5202821440392187,2.6026253088936397,2039.2730939935948,1845.5730027916395,1720.6094806072624,1971.8285067738623,1607.5364375605418,2099.14559067016,5.536002184692091,5,0.3540142594304908,-0.3142857142857143,0.5440932944606415,1.4532462012909244,True
CygOB2-C,PARSEC,3.0,2.6,2.0,8.0,corrected_no_absolute95_edge,,4.5,0.79840744400527,324,260.37115039062496,membership_weighted_mass_posterior_soft_bins,"[2.45622183 2.47808622 2.49129176 2.50202624 2.51188643 2.52795954
 2.54545781 2.56698417 2.60262531]","[0.11111111 0.11111111 0.11111111 0.11111111 0.11111111 0.11111111
 0.11111111 0.11111111 0.11111111]","[-462.00268554 -461.82787438 -461.86979216 -461.8027364  -461.71829695
 -461.79773618 -461.79869234 -461.85243917 -461.72568074]","[0.09243438 0.11009132 0.10557192 0.11289387 0.1228406  0.11345977
 0.11335134 0.10741989 0.12193691]",2.5223446468173276,2.5202821440392187,2.51188643150958,3063.5305250555843,2626.26465113763,2429.6907762186593,2824.365908251835,2246.2652935975043,3020.6742126007657,9.870446434645393,5,0.07899042559442136,0.08571428571428573,0.8717434402332361,2.3926175918927437,True
CygOB2-A,PARSEC,3.1,2.0,2.0,8.0,corrected_no_absolute95_edge,,3.25,0.7961190025252526,401,342.97150859375006,membership_weighted_mass_posterior_soft_bins,"[3.7132191  3.81842839 3.88197215 3.93362541 3.98107171 4.00243497
 4.02569247 4.05430381 4.10167556]","[0.11111111 0.11111111 0.11111111 0.11111111 0.11111111 0.11111111
 0.11111111 0.11111111 0.11111111]","[-602.16711428 -600.34614198 -599.39704924 -598.86093622 -598.9249639
 -598.58483347 -598.53459497 -598.49534339 -598.26396308]","[0.00419023 0.02588669 0.06687477 0.11431236 0.1072226  0.15066178
 0.15842416 0.16476621 0.20766119]",4.011086637228775,3.9458248415492534,4.101675560135972,1268.9210893666889,1211.5287362170525,1144.9925147212764,1282.151349742447,1082.4276948699237,1351.3448752421139,6.877358022573239,5,0.22992230853004117,-0.6,0.208,1.7806758392392616,True
CygOB2-A,PARSEC,3.1,2.3,2.0,8.0,corrected_no_absolute95_edge,,3.25,0.7961190025252526,401,342.97150859375006,membership_weighted_mass_posterior_soft_bins,"[3.7132191  3.81842839 3.88197215 3.93362541 3.98107171 4.00243497
 4.02569247 4.05430381 4.10167556]","[0.11111111 0.11111111 0.11111111 0.11111111 0.11111111 0.11111111
 0.11111111 0.11111111 0.11111111]","[-599.47273572 -598.14268032 -597.50120775 -597.08309872 -597.02761991
 -596.9114547  -596.91362839 -596.9196223  -596.84737678]","[0.01150251 0.04349389 0.08260689 0.125487   0.13264561 0.14898508
 0.14866159 0.14777319 0.15884424]",3.996571709090589,3.9458248415492534,4.101675560135972,1849.8208478525937,1726.1314410414723,1628.6859386040464,1831.047929684236,1536.5080622952646,1930.3755204080346,4.7927064136706,5,0.4416989058153322,-0.08571428571428573,0.8717434402332361,1.4146428027860172,True
CygOB2-A,PARSEC,3.1,2.6,2.0,8.0,corrected_no_absolute95_edge,,3.25,0.7961190025252526,401,342.97150859375006,membership_weighted_mass_posterior_soft_bins,"[3.7132191  3.81842839 3.88197215 3.93362541 3.98107171 4.00243497
 4.02569247 4.05430381 4.10167556]","[0.11111111 0.11111111 0.11111111 0.11111111 0.11111111 0.11111111
 0.11111111 0.11111111 0.11111111]","[-599.18709148 -598.40411872 -598.10009943 -597.80624429 -597.60547785
 -597.72775452 -597.79834369 -597.86327494 -597.9490632 ]","[0.03277201 0.07170406 0.09718017 0.1303759  0.15936359 0.1410214
 0.13141003 0.12314853 0.11302431]",3.9763409741376172,3.9458248415492534,3.9810717055349722,2665.3397251269203,2404.0542616325683,2255.3349300334903,2558.156732590384,2121.6406091471968,2710.7076940964307,9.42484306490435,5,0.09327206935282333,0.3714285714285715,0.4684781341107872,2.4341199692793234,True
CygOB2-B,PARSEC,3.1,2.0,2.0,8.0,corrected_no_absolute95_edge,,5.5,0.805921717171717,340,266.48808515624995,membership_weighted_mass_posterior_soft_bins,"[3.29275037 3.39306195 3.45364762 3.50289632 3.54813389 3.67390832
 3.8108349  3.97928177 4.25817896]","[0.11111111 0.11111111 0.11111111 0.11111111 0.11111111 0.11111111
 0.11111111 0.11111111 0.11111111]","[-480.87095264 -480.78065646 -480.82782581 -480.22197401 -479.91577283
 -478.44126471 -477.31518554 -475.85306378 -475.34010221]","[0.00218593 0.00239249 0.00228226 0.00418296 0.00568153 0.02482194
 0.07653953 0.33027613 0.55163723]",4.10411388618752,3.656966010989855,4.25817895947091,1213.7263745290722,1146.2941748674389,1072.4774276024127,1225.0355547816148,1007.3020210790993,1299.016834161974,10.175986708729827,5,0.07039957407496866,-0.942857142857143,0.004804664723032055,2.6404800635228676,False
CygOB2-B,PARSEC,3.1,2.3,2.0,8.0,corrected_no_absolute95_edge,,5.5,0.805921717171717,340,266.48808515624995,membership_weighted_mass_posterior_soft_bins,"[3.29275037 3.39306195 3.45364762 3.50289632 3.54813389 3.67390832
 3.8108349  3.97928177 4.25817896]","[0.11111111 0.11111111 0.11111111 0.11111111 0.11111111 0.11111111
 0.11111111 0.11111111 0.11111111]","[-477.64556937 -477.57143127 -477.60339395 -477.06972446 -476.94174245
 -475.48275257 -474.55330073 -473.49738099 -473.07074426]","[0.00505119 0.00543991 0.00526879 0.00898422 0.01021086 0.04392315
 0.11126262 0.31983751 0.49002176]",4.065684075367917,3.656966010989855,4.25817895947091,1786.5576066683682,1639.0546811475847,1529.7395711586278,1758.260561247759,1431.4248604694724,1872.9056509496786,6.956001627110476,5,0.22393314388036575,-0.7142857142857143,0.11078717201166179,2.434549540456054,True
CygOB2-B,PARSEC,3.1,2.6,2.0,8.0,corrected_no_absolute95_edge,,5.5,0.805921717171717,340,266.48808515624995,membership_weighted_mass_posterior_soft_bins,"[3.29275037 3.39306195 3.45364762 3.50289632 3.54813389 3.67390832
 3.8108349  3.97928177 4.25817896]","[0.11111111 0.11111111 0.11111111 0.11111111 0.11111111 0.11111111
 0.11111111 0.11111111 0.11111111]","[-475.81930658 -475.72998565 -475.74772026 -475.30912361 -475.37271593
 -473.98389157 -473.30629555 -472.7111919  -472.31877235]","[0.01241959 0.01357997 0.01334126 0.02068602 0.0194115  0.07784271
 0.15328305 0.27793572 0.41150017]",4.002733204201525,3.656966010989855,4.25817895947091,2600.1232456701873,2286.8491810277646,2118.1548135347284,2466.809857374458,1965.5141585177328,2641.950911802143,8.23290509291132,5,0.14385829524675303,-0.14285714285714288,0.7871720116618076,2.4452875936401224,True
CygOB2-C,PARSEC,3.1,2.0,2.0,8.0,corrected_no_absolute95_edge,,4.5,0.7947304567413264,319,256.93180664062504,membership_weighted_mass_posterior_soft_bins,"[2.44545228 2.47154682 2.48730726 2.50011856 2.51188643 2.52566381
 2.5406628  2.55911454 2.58966504]","[0.11111111 0.11111111 0.11111111 0.11111111 0.11111111 0.11111111
 0.11111111 0.11111111 0.11111111]","[-455.98767732 -456.27697747 -456.13338867 -455.92914097 -456.21820281
 -456.10102291 -455.81596997 -455.93699279 -455.79259103]","[0.11344076 0.08494302 0.09805901 0.12027937 0.09008515 0.10128468
 0.13469165 0.11933866 0.1378777 ]",2.5187293303003964,2.514601949155504,2.5896650443761953,1369.6620103547905,1280.4396191467922,1198.5362419814953,1368.539593043894,1123.724612350066,1452.1351283651138,4.601483072186546,5,0.46642122026727084,-0.7714285714285715,0.07239650145772594,1.7711940782905897,True
CygOB2-C,PARSEC,3.1,2.3,2.0,8.0,corrected_no_absolute95_edge,,4.5,0.7947304567413264,319,256.93180664062504,membership_weighted_mass_posterior_soft_bins,"[2.44545228 2.47154682 2.48730726 2.50011856 2.51188643 2.52566381
 2.5406628  2.55911454 2.58966504]","[0.11111111 0.11111111 0.11111111 0.11111111 0.11111111 0.11111111
 0.11111111 0.11111111 0.11111111]","[-455.3238297  -455.4583617  -455.41092324 -455.25572548 -455.45945715
 -455.45993684 -455.24826367 -455.3409698  -455.26390217]","[0.11454268 0.10012461 0.10498883 0.12261529 0.10001499 0.09996702
 0.12353365 0.11259614 0.12161679]",2.515923459115025,2.514601949155504,2.5406628015751993,2087.7809587821453,1884.298652040327,1755.6580122564365,2017.2942231178854,1641.6972318969201,2148.2838943888014,5.196813466276268,5,0.39233622172273647,-0.028571428571428574,0.9571545189504373,1.5673843285159779,True
